window,instrument,n_weeks,years,total_return,cagr,vol,sharpe,sortino,calmar,max_dd,ulcer,upi,best_week,worst_week,pct_pos
NTSX era (2018-08 onward),RSST,143,2.72,1.7662941159196015,0.23249304069438215,0.21956958937527574,0.8764254949107196,0.79197006958634,0.8663642920437893,-0.2683548281357735,0.07135841215536154,2.697552185932701,0.06297449355493034,-0.14676397725068802,0.5944055944055944
NTSX era (2018-08 onward),RSBT,173,3.3,1.0575269510091414,0.01711285787756278,0.1210971084554369,-0.12440033165390454,-0.11295023485166746,0.08262837354508551,-0.20710631400998455,0.11426021706808737,-0.20030718223473032,0.032379596975887326,-0.05844161140172943,0.5317919075144508
NTSX era (2018-08 onward),RPAR,338,6.46,1.3411124602912836,0.04649163777475107,0.12990764733389532,0.11073204983898371,0.10518228574574925,0.15786010268399017,-0.29451164027062393,0.14240943398303002,0.04558432396778317,0.10346733773501327,-0.10922773726026491,0.5562130177514792
NTSX era (2018-08 onward),SWAN,395,7.55,1.6754740015540466,0.07073798490561556,0.10936002996467994,0.3173773826138004,0.32040600737246955,0.22819464126313296,-0.3099896847448186,0.129852901677875,0.23671388554617762,0.05091377482300974,-0.05018911296603934,0.5316455696202531
NTSX era (2018-08 onward),NTSI,263,5.02,1.3452073053777787,0.06083782777946789,0.1556971135449794,0.2025329983573264,0.19095271825357035,0.18330281976959178,-0.33189793728181544,0.12207023280849745,0.17070359661030599,0.0813236013121108,-0.07187232328103088,0.5665399239543726
NTSX era (2018-08 onward),NTSE,263,5.02,1.456829949169583,0.07781362078264076,0.18384941142503278,0.2830831909481873,0.2753877976425515,0.1871287040119655,-0.41582942175276943,0.22853198313324888,0.16546314552651906,0.06943249112783079,-0.09001440643788339,0.5513307984790875
NTSX era (2018-08 onward),SPY,410,7.84,3.040649969489161,0.15243094183018013,0.1840539707974871,0.6467812875668902,0.6089380802913621,0.47890641421336166,-0.3182896225780541,0.07713463715338063,1.4575934493165958,0.12091597994945369,-0.1454574322432589,0.573170731707317
NTSX era (2018-08 onward),VTI,410,7.84,2.9093909527563615,0.14596142927617484,0.18937395094143664,0.6043162498417812,0.5736191677463085,0.44348916370641367,-0.32912062169979006,0.08351339252246612,1.2687956515198435,0.12951822477702502,-0.15257860177988292,0.5780487804878048
NTSX era (2018-08 onward),QQQ,410,7.84,4.415454742625926,0.2086021614949105,0.21683545455799982,0.797544921781676,0.7891640932449935,0.595060868261353,-0.3505560063198302,0.11505689148796844,1.4653808156510235,0.09538104243686707,-0.11250935349159974,0.5780487804878048
NTSX era (2018-08 onward),AOR,410,7.84,1.8670811530803455,0.08291384813139913,0.11467648443203456,0.4064585934689569,0.3827072828706352,0.3736104473358993,-0.22192593575108022,0.0653519236231385,0.6566577654066948,0.08243301054121743,-0.09168307371465645,0.5658536585365853
