variant,base_label,regime_period,reentry_instrument,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,num_trades,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,cagr_delta,calmar_delta
EMA_reentry,R40_UGL_25_S6%,40,UGL,25,0.06,0.10983040246692477,-0.4556025072700913,0.3367905105460662,0.28921690780751447,0.24106628193293694,0.27004260775472944,0.21415288108701042,227,0.11392171438218757,0.10386932490098988,0.34872749059950564,0.3172078669670715,1.0993658320450992,-0.02271101036252854,-0.11777655722577046
ATR_stop_1.5x,R40_UGL_25_S6%,40,UGL,25,0.06,0.11625011326835777,-0.43125348872466207,0.36064804833033876,0.3090295000520082,0.26956329933038237,0.2533191769358608,0.2536330413098792,252,0.11122047623528286,0.12391387651817398,0.34039058094924957,0.39255867203541916,0.8671075311731677,-0.01629129956109554,-0.08927953982832504
ATR_stop_2.0x,R40_UGL_25_S6%,40,UGL,25,0.06,0.11681931654302202,-0.44787373301778266,0.3606199063356434,0.30027578751047934,0.26083091713347645,0.2778824207957382,0.23326166641778492,200,0.119181957459769,0.11343048690747048,0.3663861654346187,0.35080867204182586,1.0444045276934761,-0.015722096286431286,-0.09801192202523096
ATR_stop_2.5x,R40_UGL_25_S6%,40,UGL,25,0.06,0.1194837536425164,-0.43914136587614294,0.36722310056243773,0.3046745893977616,0.27208494331690003,0.2792541924264231,0.24165708330519262,168,0.1155660615342935,0.12547948105982742,0.35168569798484706,0.391358240000964,0.8986285761709804,-0.01305765918693691,-0.08675789584180738
ATR_stop_3.0x,R40_UGL_25_S6%,40,UGL,25,0.06,0.12225603637061289,-0.5565077531974739,0.3753822653522037,0.3118795126612759,0.21968433623463096,0.33300776836913354,0.21097416650273232,140,0.13518560882397845,0.10338787648327652,0.41423716352708806,0.3131097294895884,1.3229776161933748,-0.010285376458840423,-0.13915850292407644
ATR_stop_3.5x,R40_UGL_25_S6%,40,UGL,25,0.06,0.10686503317087825,-0.5907509829370782,0.3234348734160642,0.2683265311868547,0.1808969197809369,0.3641899181546995,0.15064951124641746,126,0.10124103391812111,0.11540735929568902,0.3038429597884493,0.35341689614082017,0.8597295802953971,-0.025676379658575055,-0.17794591937777052
ATR_stop_4.0x,R40_UGL_25_S6%,40,UGL,25,0.06,0.1257115553348147,-0.5705706340553435,0.3856198626145128,0.3179453525391102,0.22032601720371942,0.3452897558426309,0.21347738844707997,110,0.1292179532632225,0.12064608715867275,0.3944159372372482,0.3710440618131569,1.062989487851878,-0.006829857494638603,-0.138516821954988
golden_cross,R40_UGL_25_S6%,40,UGL,25,0.06,0.12850913560795618,-0.38698284315052844,0.41983748098005114,0.3162520522219371,0.3320796719609834,0.17848518941592592,0.42865817527114897,168,0.12365809260275484,0.13592775645393096,0.40387231749417735,0.4417128176091128,0.9143323476104743,-0.004032277221497127,-0.02676316719772398
partial_exit_15pct,R40_UGL_25_S6%,40,UGL,25,0.06,0.13132786718073985,-0.3829756243576458,0.4263354047700971,0.3683704521648817,0.34291442804228695,0.20690494631506037,0.38340246859031074,255,0.1334073963235365,0.12838772190840841,0.4271104597910763,0.4250011711372433,1.0049630184504876,-0.0012135456487134544,-0.01592841111642046
DXY_below_SMA40,R40_UGL_25_S6%,40,UGL,25,0.06,0.10799875658449443,-0.3477321903927692,0.34537614221578467,0.2561698349771195,0.3105802671375005,0.18434722685275906,0.3037678273794782,162,0.13554834084309064,0.06827022041598352,0.4481287790699769,0.1769658909992702,2.532288999532825,-0.024542656244958883,-0.04826257202120693
TIP_above_SMA20,R40_UGL_25_S6%,40,UGL,25,0.06,0.08963352876017594,-0.37818023934095,0.2695288328234229,0.19700362828550586,0.23701272418775549,0.19942952475747833,0.18870590403272142,172,0.07495525672511971,0.11195946844401727,0.20746481130678862,0.3551950824807503,0.5840869469752079,-0.04290788406927737,-0.12183011497095192
GDX_above_SMA10,R40_UGL_25_S6%,40,UGL,25,0.06,0.07475596664296513,-0.4606428571564692,0.20646436217350142,0.13545556673062545,0.16228617351071253,0.206646391341341,0.11012031952387959,142,0.06966508191820187,0.08243268301596163,0.1820068384847105,0.2375540145338017,0.7661703332688264,-0.057785446186488176,-0.19655666564799487
GLD_low_vol,R40_UGL_25_S6%,40,UGL,25,0.06,0.10879396355444904,-0.37240235623568224,0.35972398487005597,0.26260126248712273,0.29214091085287497,0.1850035844825409,0.3069884495119541,158,0.1019774134556728,0.11914297128716167,0.3285900152449317,0.40532608263538283,0.8106806576780794,-0.023747449275004273,-0.06670192830583244
UGL_above_SMA50,R40_UGL_25_S6%,40,UGL,25,0.06,0.11952941119107918,-0.4282801493429047,0.37310994902871375,0.3132738925416504,0.27909164450995216,0.24355058062949814,0.2772705818090759,206,0.12855198570840876,0.10634149838355023,0.4010308600204519,0.3279524451378628,1.2228323525743765,-0.013012001638374127,-0.07975119464875524
EMA_regime,R50_UGL_25_S6%,50,UGL,25,0.06,0.1287659793526441,-0.38698284315052867,0.4041522789469135,0.34513276690279276,0.3327433803119708,0.21227319532388197,0.36163764923553443,218,0.13184044606606204,0.12434582266676997,0.41132795433087493,0.3920803635335683,1.049090932848155,-0.0061427616251406025,-0.025118724073321164
EMA_reentry,R50_UGL_25_S6%,50,UGL,25,0.06,0.11084376216259995,-0.4471870124390015,0.34024430221026264,0.2920406244832412,0.2478689207856178,0.2711185770515142,0.2170406867819289,225,0.11723615059195236,0.10149412833503368,0.3597590143505576,0.30851770011218504,1.1660887340328931,-0.024064978815184768,-0.10999318359967417
ATR_stop_1.5x,R50_UGL_25_S6%,50,UGL,25,0.06,0.12183425949071758,-0.40207532335925816,0.3803642990278711,0.3252513554263812,0.3030135211303617,0.24331276085093145,0.28701437296789545,248,0.11411216620575937,0.13358038884191248,0.35027544665890203,0.42813113702411915,0.8181498993360274,-0.013074481487067136,-0.054848583254930305
ATR_stop_2.0x,R50_UGL_25_S6%,50,UGL,25,0.06,0.12040650235043615,-0.4545515415269137,0.37285019482170256,0.30948702214082063,0.26489075792366873,0.2807040888698528,0.24369613790040845,196,0.12257545966150007,0.11731202836630916,0.3776751059895487,0.36450496878873134,1.0361315711129602,-0.014502238627348563,-0.09297134646162325
ATR_stop_2.5x,R50_UGL_25_S6%,50,UGL,25,0.06,0.12148025282438257,-0.4580733944534102,0.37410643652512404,0.30826520414964936,0.26519822870161935,0.28373253852997987,0.24487939657665006,162,0.1130263912635856,0.13433650598379177,0.3436319812151732,0.42162357547408924,0.8150207939126284,-0.01342848815340214,-0.09266387568367263
ATR_stop_3.0x,R50_UGL_25_S6%,50,UGL,25,0.06,0.12545622198665396,-0.5399896287003827,0.38624178689879707,0.31887528590312775,0.23233079918330116,0.32571586977160766,0.2255223917648273,134,0.1309898253161832,0.11739799228771508,0.4012366296168739,0.3618544960188573,1.1088341696214943,-0.009452518991130754,-0.12553130520199082
