regime_type,regime_period,reentry_instrument,reentry_period,trailing_stop_pct,total_return,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,recovery_weeks,worst_1yr,worst_3yr,pct_3yr_negative,num_trades,pct_time_ugl,pct_time_cash,train_cagr,train_sharpe,train_max_dd,test_cagr,test_sharpe,test_max_dd,train_test_sharpe_ratio
weekly_sma,175,GLD,20,0.06,15.554088739148328,0.11313660210462428,-0.3910838290762092,0.3581765503273462,0.2784856774529724,0.28928990076594996,0.1945734537372416,0.3142083410164737,137.0,-0.32743373479114257,-0.3075034943570192,0.283657917019475,187,0.4902694610778443,0.5097305389221557,0.1172270130480686,0.37636639505721,-0.3439752736247745,0.10718324648672128,0.33140845202191677,-0.3910838290762092,1.1356572011395776
weekly_sma,175,GLD,20,0.08,17.720760115600033,0.11882071301464237,-0.4837538385605456,0.37786862314524083,0.2914027671889469,0.2456222639353197,0.26435352748041696,0.2527702718837084,137.0,-0.35658365671424064,-0.2877971889769978,0.2489415749364945,141,0.5119760479041916,0.4880239520958084,0.12280888186673877,0.39501859890190805,-0.3703947087902955,0.11302945405140274,0.35227364731057603,-0.3911155315811876,1.121340190836491
weekly_sma,175,GLD,20,0.1,18.33466105964676,0.12030985045135911,-0.5013468174654083,0.3769451764497874,0.28843930507602444,0.23997330043819454,0.2891379311269125,0.23625350774670792,353.0,-0.4148013232040556,-0.39907577941511263,0.23454699407281965,101,0.5501497005988024,0.4498502994011976,0.11432471629274787,0.3587199723977574,-0.448478683169121,0.12942363908824528,0.40170235266983106,-0.4250712321549429,0.8929994310802507
weekly_sma,175,GLD,20,0.12,14.183846291522146,0.10913460692915322,-0.46607520449440154,0.33517363686910495,0.2585811526267939,0.2341566465599526,0.2745128158194437,0.20813092736163027,160.0,-0.4543331378211205,-0.423173374403527,0.21761219305673157,83,0.5703592814371258,0.4296407185628742,0.10616831970627594,0.3261123130470335,-0.43302151716807363,0.11368065947084616,0.34727566692534223,-0.46607520449440154,0.939058920926762
weekly_sma,175,GLD,20,0.15,22.881814459653512,0.1300457089792424,-0.5294829145561533,0.4054223830077668,0.31654207122024997,0.2456088863382024,0.3106320844589329,0.2512480612399857,182.0,-0.4636937123238002,-0.4412974567135798,0.26079593564775616,61,0.6017964071856288,0.39820359281437123,0.14460265999839117,0.4588578585954474,-0.4306048414438962,0.10883671737699996,0.3294399875043038,-0.5070133426888503,1.3928420228265486
weekly_sma,175,GLD,20,0.18,24.697060430904354,0.13342006967732045,-0.54710957785244,0.4149519764408367,0.3242178995302116,0.24386352401475406,0.3244401803009782,0.2509555678393111,349.0,-0.4395295421183848,-0.4261961009502214,0.2955122777307367,49,0.624251497005988,0.37574850299401197,0.14489826391551586,0.45765662446325545,-0.4692461831301049,0.11667805712295087,0.3544475215703681,-0.45159016360925497,1.29118302883209
weekly_sma,175,GLD,20,0.2,22.548489929351543,0.12939824336367534,-0.597736819216646,0.40081192943767807,0.3155004478328662,0.21648029568139376,0.3476702841033262,0.22261966841167508,81.0,-0.45901326274067666,-0.45526784722810076,0.32091447925486877,47,0.6339820359281437,0.36601796407185627,0.14795641334890974,0.4674985668226998,-0.48817755009784747,0.10243522341929356,0.3072684756158992,-0.51435334311389,1.5214660921060321
weekly_sma,175,GLD,20,0.22,24.15842142575879,0.1324443575187999,-0.5909141993897308,0.4078545467991169,0.3249887074160064,0.22413466736047702,0.33979839150549845,0.23674143118331448,343.0,-0.47238497521994427,-0.4816957569493677,0.275190516511431,41,0.6489520958083832,0.35104790419161674,0.1286320459282455,0.40015374372356827,-0.5201143374135926,0.13830728641515044,0.41816946955635265,-0.44215954909936256,0.9569176442940759
weekly_sma,175,GLD,20,0.25,24.30021229686543,0.13270321491040216,-0.5741685292757445,0.4075223471645247,0.32475804688842763,0.2311224111809016,0.3170709814296536,0.25452728138827563,324.0,-0.37203608331443505,-0.46047929854416847,0.2802709568162574,39,0.657185628742515,0.34281437125748504,0.12332923998194101,0.3798588538093367,-0.49705003623006033,0.14697992972017015,0.44573675926560097,-0.39692545706863264,0.8522044590515596
weekly_sma,175,GLD,20,0.28,40.13567315438933,0.15512024543831937,-0.5934238042771807,0.47831098276903333,0.3862208218757497,0.26139875805498475,0.3274263856732485,0.31494176996849327,345.0,-0.4004313963386087,-0.48487538053836843,0.3082133784928027,29,0.6691616766467066,0.33083832335329344,0.16426211839859906,0.5131656589979372,-0.5197924602408578,0.1418246159656944,0.42887447748749924,-0.45927625671041833,1.1965404469956944
weekly_sma,175,GLD,20,0.3,30.539148272197185,0.14285807202184153,-0.5934238042771813,0.4380491630328953,0.3512762334950543,0.2407353243873483,0.33401498493240595,0.27201795165036785,345.0,-0.400431396338609,-0.4848753805383694,0.3082133784928027,29,0.6706586826347305,0.32934131736526945,0.14367019700978378,0.4438951083714016,-0.5197924602408586,0.1418246159656944,0.4288744774874992,-0.4592762567104186,1.0350233732067682
weekly_sma,175,GLD,25,0.06,16.423370912577116,0.11550333528147849,-0.43902487494739445,0.36474817343894705,0.2891127884489449,0.2630906398989773,0.20094683166789865,0.3160205849198427,27.0,-0.374515778092391,-0.33489836592808486,0.2523285351397121,191,0.5074850299401198,0.49251497005988026,0.1238399141777431,0.3973536327599738,-0.43902487494739445,0.10331117781588062,0.31630069878362965,-0.37790283720393386,1.2562527818877494
weekly_sma,175,GLD,25,0.08,18.738532421590357,0.12126361004323005,-0.45757683003704397,0.38467915148732357,0.30377642748990885,0.2650125663780068,0.2675245523889522,0.25890561978224774,59.0,-0.39605857361136987,-0.3216825997622733,0.23200677392040644,145,0.5374251497005988,0.4625748502994012,0.12640939088729275,0.40538840437933016,-0.45757683003704397,0.11376867243200262,0.3536782704456003,-0.339214098913459,1.1462067032520264
