end,trough,trough_date,cagr,max_dd,weeks_underwater,ended_below_lump,ever_down_30,ever_down_40,ever_down_50,start_date,end_date,label,horizon_yr,monthly_contrib
102697.9384328625,54576.35266230921,2015-08-21,0.19619915625823992,-0.15236131866318997,49,False,False,False,False,2014-12-26,2017-12-15,TripleEdge 3yr,3.0,0.0
101346.3667533775,53446.31747531985,2015-08-21,0.19092837954332653,-0.15236131866319,57,False,False,False,False,2015-01-02,2017-12-22,TripleEdge 3yr,3.0,0.0
104263.77864398736,55263.172916094314,2015-08-21,0.20224801847049578,-0.15236131866319,41,False,False,False,False,2015-01-09,2017-12-29,TripleEdge 3yr,3.0,0.0
112242.59526798564,56082.77913639136,2015-08-21,0.23216485281658716,-0.15236131866319,33,False,False,False,False,2015-01-16,2018-01-05,TripleEdge 3yr,3.0,0.0
120681.49322735288,57832.02413365579,2015-08-21,0.2623016258885775,-0.15236131866319005,26,False,False,False,False,2015-01-23,2018-01-12,TripleEdge 3yr,3.0,0.0
118249.86028700993,55718.24382843459,2015-08-21,0.25376592388041685,-0.15236131866318986,33,False,False,False,False,2015-01-30,2018-01-19,TripleEdge 3yr,3.0,0.0
132923.69103719463,59299.636938849886,2015-08-21,0.3036180966127582,-0.15236131866319025,14,False,False,False,False,2015-02-06,2018-01-26,TripleEdge 3yr,3.0,0.0
112655.92134497098,55412.33221816008,2015-08-21,0.23367545581593374,-0.15236131866318994,35,False,False,False,False,2015-02-13,2018-02-02,TripleEdge 3yr,3.0,0.0
94491.14098865108,52919.57067405333,2015-08-21,0.16344702722572024,-0.20342912532767687,55,False,False,False,False,2015-02-20,2018-02-09,TripleEdge 3yr,3.0,0.0
94316.61866500646,52108.095723729006,2015-08-21,0.16273030178289138,-0.2034291253276769,63,False,False,False,False,2015-02-27,2018-02-16,TripleEdge 3yr,3.0,0.0
94301.678836595,52440.82717188183,2015-08-21,0.1626689060687636,-0.20342912532767687,58,False,False,False,False,2015-03-06,2018-02-23,TripleEdge 3yr,3.0,0.0
97460.51133731278,54319.565562252596,2015-08-21,0.17550860266305923,-0.20342912532767682,44,False,False,False,False,2015-03-13,2018-03-02,TripleEdge 3yr,3.0,0.0
99349.16418262804,55352.49193227247,2015-08-21,0.18305333040603244,-0.2034291253276768,35,False,False,False,False,2015-03-20,2018-03-09,TripleEdge 3yr,3.0,0.0
90636.70437677811,52184.23054560198,2015-08-21,0.14740732609598184,-0.22515566221013805,57,False,False,False,False,2015-03-27,2018-03-16,TripleEdge 3yr,3.0,0.0
84254.56347904485,54904.199587911324,2015-08-21,0.11981787128046983,-0.31539902969316,35,False,True,False,False,2015-04-03,2018-03-23,TripleEdge 3yr,3.0,0.0
86860.41527399549,54547.24782664777,2015-08-21,0.13124554957131251,-0.31539902969316014,41,False,True,False,False,2015-04-10,2018-03-30,TripleEdge 3yr,3.0,0.0
80794.16790907655,52427.5160187079,2015-08-21,0.10427249265068395,-0.3153990296931601,54,False,True,False,False,2015-04-17,2018-04-06,TripleEdge 3yr,3.0,0.0
86670.76276024376,53632.13946541307,2015-08-21,0.13042162267213087,-0.31539902969316014,45,False,True,False,False,2015-04-24,2018-04-13,TripleEdge 3yr,3.0,0.0
83941.26266294684,51532.92889648039,2015-08-21,0.11842813203727998,-0.31539902969316,62,False,True,False,False,2015-05-01,2018-04-20,TripleEdge 3yr,3.0,0.0
84293.56240525945,52116.805678111145,2015-08-21,0.11999062140167571,-0.31539902969316014,54,False,True,False,False,2015-05-08,2018-04-27,TripleEdge 3yr,3.0,0.0
82715.33994802956,51654.55886350515,2015-08-21,0.11295670322031537,-0.31539902969316,59,False,True,False,False,2015-05-15,2018-05-04,TripleEdge 3yr,3.0,0.0
86684.46593984985,51198.80848974632,2015-08-21,0.1304811950651359,-0.3153990296931599,60,False,True,False,False,2015-05-22,2018-05-11,TripleEdge 3yr,3.0,0.0
84317.68018370494,50898.62002697976,2015-08-21,0.12009742714556948,-0.31539902969316,61,False,True,False,False,2015-05-29,2018-05-18,TripleEdge 3yr,3.0,0.0
86840.35481750849,51972.275783118836,2015-08-21,0.13115845562375794,-0.31539902969316,54,False,True,False,False,2015-06-05,2018-05-25,TripleEdge 3yr,3.0,0.0
88675.79769363967,52684.86679455137,2015-08-21,0.1390722834998137,-0.31539902969316014,50,False,True,False,False,2015-06-12,2018-06-01,TripleEdge 3yr,3.0,0.0
92064.95532988683,52637.95855141919,2015-08-21,0.1534028816956594,-0.31539902969316,50,False,True,False,False,2015-06-19,2018-06-08,TripleEdge 3yr,3.0,0.0
90036.3813097073,51815.354465772725,2015-08-21,0.14486846697185873,-0.3153990296931602,54,False,True,False,False,2015-06-26,2018-06-15,TripleEdge 3yr,3.0,0.0
88810.93738151522,52174.813594508094,2015-08-21,0.1396506289855861,-0.3153990296931602,51,False,True,False,False,2015-07-03,2018-06-22,TripleEdge 3yr,3.0,0.0
88733.58066575829,53684.55045895293,2015-08-21,0.1393196440820299,-0.31539902969316,44,False,True,False,False,2015-07-10,2018-06-29,TripleEdge 3yr,3.0,0.0
91557.80635414214,53629.86239137533,2015-08-21,0.1512811026868306,-0.3153990296931601,44,False,True,False,False,2015-07-17,2018-07-06,TripleEdge 3yr,3.0,0.0
89749.23848704073,50858.3208802086,2015-08-21,0.14365010445815107,-0.3153990296931602,54,False,True,False,False,2015-07-24,2018-07-13,TripleEdge 3yr,3.0,0.0
94186.69406754401,53328.578902677946,2015-08-21,0.1621961552433282,-0.31539902969316014,47,False,True,False,False,2015-07-31,2018-07-20,TripleEdge 3yr,3.0,0.0
92976.80308113148,51960.2733552106,2015-08-21,0.1571982982321254,-0.3153990296931599,48,False,True,False,False,2015-08-07,2018-07-27,TripleEdge 3yr,3.0,0.0
97195.37586312676,53419.114459048855,2015-08-21,0.1744416676892464,-0.31539902969315997,45,False,True,False,False,2015-08-14,2018-08-03,TripleEdge 3yr,3.0,0.0
95271.32813981215,52616.00453774251,2015-08-21,0.16664034101971614,-0.31539902969316014,46,False,True,False,False,2015-08-21,2018-08-10,TripleEdge 3yr,3.0,0.0
110133.69671428626,60058.520575250644,2015-08-28,0.22439906372113216,-0.31539902969316014,0,False,True,False,False,2015-08-28,2018-08-17,TripleEdge 3yr,3.0,0.0
112125.4381353274,60058.520575250644,2015-09-04,0.23173599852476556,-0.31539902969316014,0,False,True,False,False,2015-09-04,2018-08-24,TripleEdge 3yr,3.0,0.0
114360.6535154637,60058.520575250644,2015-09-11,0.23986707123528728,-0.31539902969316014,0,False,True,False,False,2015-09-11,2018-08-31,TripleEdge 3yr,3.0,0.0
111840.98768280171,60058.520575250644,2015-09-18,0.23069352155006184,-0.31539902969316,0,False,True,False,False,2015-09-18,2018-09-07,TripleEdge 3yr,3.0,0.0
