regime_type,regime_period,reentry_instrument,reentry_period,trailing_stop_pct,total_return,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,recovery_weeks,worst_1yr,worst_3yr,pct_3yr_negative,num_trades,pct_time_upro,pct_time_cash,train_cagr,train_sharpe,train_max_dd,test_cagr,test_sharpe,test_max_dd,train_test_sharpe_ratio
weekly_sma,150,UPRO,10,0.15,15.541706503093847,0.09496040741367517,-0.6768646010304514,0.28733350392167706,0.21093647564754492,0.14029453936445851,0.3480727170708057,0.12342365634171804,508.0,-0.5404556683031194,-0.657733862371069,0.1960646521433591,90,0.6032953105196451,0.39670468948035487,0.06717725757172066,0.19544195615211443,-0.6768646010304514,0.15508600764335623,0.46189409150928007,-0.4827101499103225,0.42313153544244403
weekly_sma,150,UPRO,10,0.18,20.732452601639725,0.10544394376204447,-0.6600142552741451,0.3182760075020277,0.23813673028786497,0.15976010051214273,0.3415717025556966,0.15646478722378918,506.0,-0.5324689284080626,-0.639885917583483,0.2044975404075896,72,0.6267427122940431,0.3732572877059569,0.07009788025665564,0.20672905379171186,-0.6600142552741451,0.1843118797838954,0.5253873161137498,-0.5384939408550421,0.39347933886350933
weekly_sma,150,UPRO,12,0.06,3.0973118881193935,0.03809007716782453,-0.5765135657706767,0.08271242547174634,0.0596478615695956,0.06606969797303236,0.329066547031965,-0.04227085055480975,167.0,-0.5386500418157023,-0.5380990927616092,0.3872101194659171,238,0.5101394169835235,0.48986058301647656,0.015927142186516363,-0.02304195621759194,-0.5765135657706767,0.08477035827834878,0.2747466706384249,-0.5025297986107878,-0.0838661890389779
weekly_sma,150,UPRO,12,0.08,5.894251631437766,0.06041338563898413,-0.6156433356977721,0.17108871664794864,0.12150550386846358,0.09813049559045646,0.3414319821269868,0.024641469104833277,590.0,-0.5165531533331085,-0.5928880853593501,0.33309908643710473,162,0.5424588086185045,0.45754119138149557,0.03525895095870735,0.06816312689315214,-0.6156433356977721,0.11427141666661678,0.36110553575966886,-0.5752212101618361,0.18876234270337414
weekly_sma,150,UPRO,12,0.1,4.6804446104087,0.05235893663270352,-0.6562273314010152,0.1464929773815591,0.10542635533325947,0.07978780237775163,0.39617008369217493,0.0009060165001818266,615.0,-0.5495502056949597,-0.6453340521554161,0.3612087139845397,140,0.5602027883396705,0.43979721166032953,0.02425317801189819,0.03040402407472138,-0.6562273314010152,0.11351255329447274,0.35749558837068535,-0.6104782389213469,0.08504727069022067
weekly_sma,150,UPRO,12,0.12,3.972146786235961,0.046664588226872805,-0.6608580404555554,0.13350327329919967,0.09602371655743602,0.07061212146969578,0.3878425239295023,-0.013756644627490626,652.0,-0.5576377365390075,-0.6407796577801649,0.28109627547434995,124,0.5754119138149556,0.42458808618504434,0.021798382245554526,0.03105317265562316,-0.6608580404555554,0.0998872476048478,0.3206632116032276,-0.6081130931071892,0.09684045918571658
weekly_sma,150,UPRO,12,0.15,7.019259851984086,0.06655608023680215,-0.732568986355253,0.2012123143011206,0.14633599135929465,0.09085298651248983,0.4226851299984495,0.03443717132148829,650.0,-0.6196751985938376,-0.7167361409048122,0.2796907940969782,92,0.6007604562737643,0.39923954372623577,0.04714289736353261,0.12866558276275886,-0.732568986355253,0.10647679579353797,0.3385016861577411,-0.642695619773091,0.380103225550259
weekly_sma,150,UPRO,12,0.18,11.241305522364465,0.08329462591335668,-0.6812268085191204,0.25434124093534316,0.18998085612172338,0.12227150322287822,0.3687624793836273,0.08486391013983982,inf,-0.677065189384598,-0.6421996246170174,0.2839072382290935,72,0.6242078580481623,0.37579214195183774,0.059193167614128184,0.1724754971128197,-0.6621986391882505,0.13447276245433382,0.40789068803636597,-0.6812268085191204,0.42284735143902685
weekly_sma,150,UPRO,15,0.06,1.9388453056625716,0.022134340045094847,-0.6115210171485909,0.02258185876288514,0.016380499130366474,0.03619555080592842,0.34635347532637323,-0.08622884446810405,246.0,-0.5422771080288764,-0.5430580110893939,0.39985945186226285,246,0.5133079847908745,0.4866920152091255,0.0035923911320905333,-0.07587501558696871,-0.6115210171485909,0.060148345363240985,0.1990517436945687,-0.46333729895884673,-0.38118237086831924
weekly_sma,150,UPRO,15,0.08,4.66030531022451,0.05220889512613036,-0.5986522155794161,0.14323770335971106,0.10243982780698706,0.08721072730950985,0.35351394209853926,0.0005909105731171865,320.0,-0.5087378145208086,-0.5748910318782272,0.3675333801827126,166,0.5468948035487959,0.45310519645120406,0.01980129062891689,0.009864927214158539,-0.5986522155794161,0.12406147201617346,0.38829943579642173,-0.5417556025206277,0.025405463682750595
weekly_sma,150,UPRO,15,0.1,4.286583660666788,0.04930456436220476,-0.6588030653756437,0.1368141340125848,0.09927474862701702,0.07483960982193022,0.4014413216089613,-0.006714395087660719,144.0,-0.5422682929372369,-0.6296554591156465,0.3576950105411103,142,0.5659062103929025,0.4340937896070976,0.016051903553503166,0.0010276358184518612,-0.6588030653756437,0.12329594122502785,0.3838947459164397,-0.579790307377173,0.0026768686713819763
weekly_sma,150,UPRO,15,0.12,3.627491094253314,0.043527969533043276,-0.6458657109163876,0.12344682920754614,0.08935935824898379,0.06739476766971195,0.39643845608975103,-0.02137035480997512,679.0,-0.5504865657524796,-0.6248997302272115,0.32677442023893183,126,0.5798479087452472,0.42015209125475284,0.013478517118327815,0.0009670682432207434,-0.6458657109163876,0.10955092278421796,0.3463507024237637,-0.5772388268313285,0.0027921648099836255
weekly_sma,150,UPRO,15,0.15,6.189722630725514,0.062129844023040226,-0.7207467574250986,0.18751752005176694,0.13701795991429502,0.08620204445317518,0.4326156681187937,0.023415342461102526,679.0,-0.6196751985938378,-0.7042139949344468,0.29234012649332397,94,0.6039290240811154,0.3960709759188847,0.03575757063735763,0.0900268790417605,-0.7207467574250986,0.11896242534080348,0.3708540752742376,-0.6145458898825891,0.24275553389884635
weekly_sma,150,UPRO,15,0.18,6.725485341008288,0.06504935002573364,-0.6812268085191202,0.20154915473210858,0.1505781548319435,0.09548853511379078,0.40669589906258236,0.03208625918238141,inf,-0.677065189384598,-0.6550532796077375,0.36331693605059734,74,0.6280101394169835,0.3719898605830165,0.042433379042584374,0.12107420779032185,-0.674333847662033,0.11270392238397053,0.3546012131210863,-0.6812268085191202,0.341437658164408
weekly_sma,150,UPRO,20,0.06,3.2508394138442767,0.039752040024442215,-0.6139115921026456,0.08703496750856171,0.06245333149974435,0.06475205963824789,0.3267941654008591,-0.03747912683977676,400.0,-0.5463377770990241,-0.48167445914018314,0.37104708362614197,238,0.5063371356147022,0.49366286438529783,0.033710991145784686,0.04782999602584082,-0.6139115921026456,0.04831266421898617,0.15951673223410492,-0.5495599215558206,0.29984312840389726
weekly_sma,150,UPRO,20,0.08,4.983236089722573,0.05454253377918605,-0.5763060420559641,0.1503563847176856,0.10627163170831465,0.09464161365479752,0.3442533646353791,0.0073856468530932645,107.0,-0.5136518468477269,-0.5364872286628295,0.3843991567111736,162,0.5386565272496832,0.46134347275031684,0.031378880131242015,0.05281293702702259,-0.5763060420559641,0.10357568744124279,0.3311189157199702,-0.571064644161962,0.1594983992750414
weekly_sma,150,UPRO,20,0.1,3.6605015678156563,0.04384059987109934,-0.5969026172250335,0.11556026765216236,0.08199994104479079,0.0734468213172055,0.37404202151743454,-0.021814126914936317,625.0,-0.5502078419482854,-0.5841294890655633,0.35137034434293746,138,0.5513307984790875,0.44866920152091255,0.014587854082033669,-0.007828040210861411,-0.5969026172250335,0.10788271454197096,0.342849009247175,-0.5710646441619621,-0.022832325600269803
weekly_sma,150,UPRO,20,0.12,3.085981281405145,0.03796428380718986,-0.6138062908574632,0.10159801424815657,0.07168287938705414,0.061850594190156066,0.3800238445658515,-0.03693377769188374,106.0,-0.5580378055199046,-0.5787891446447262,0.35980323260716796,120,0.5627376425855514,0.4372623574144487,0.01436470912395138,-4.261150014476528e-05,-0.6138062908574632,0.08813815763235344,0.28827889958765057,-0.5684601820682523,-0.00014781345497612235
