regime_period,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,upi,num_trades,pct_time_upro,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,total_return,worst_1yr
30,12,0.25,0.11867773556494576,-0.8046170756640824,0.3532005071795102,0.2907131423601014,0.1474959196795523,0.1706597917589904,114,0.6894803548795945,0.08393685535851181,0.1959379136157693,0.25632852149092467,0.5563956072456496,0.46069472539483075,29.713311054365395,-0.5716318802925986
30,12,0.28,0.1238651039769385,-0.8046170756640824,0.3668567704123903,0.30242112395054715,0.15394292232079182,0.18702784661690192,112,0.6907477820025348,0.08393685535851181,0.21418942217983528,0.25632852149092467,0.5973274161826555,0.4291256596408133,34.1754021945703,-0.5716318802925986
30,12,0.3,0.1238651039769385,-0.8046170756640824,0.3668567704123903,0.30242112395054715,0.15394292232079182,0.18702784661690192,112,0.6907477820025348,0.08393685535851181,0.21418942217983528,0.25632852149092467,0.5973274161826555,0.4291256596408133,34.1754021945703,-0.5716318802925986
30,15,0.1,0.0693639337214842,-0.7564411941330715,0.21062218698123186,0.1680578486246321,0.09169772119692603,0.042446971139699335,186,0.641318124207858,0.037206997033353284,0.14047792394047254,0.10681595190389746,0.4322890761544726,0.24709380318860577,7.600166197177632,-0.5186403033875764
30,15,0.12,0.07066836713896096,-0.7686051502354648,0.21703154650389817,0.17444778353563553,0.09194365548723095,0.048174542682498295,168,0.6565272496831432,0.04467702342006841,0.12652267431864495,0.13404934717204928,0.391913686799469,0.342037932552834,7.885596358802837,-0.5186403033875765
30,15,0.15,0.1018665399599279,-0.7841408082901725,0.30783206368611465,0.2493867431780209,0.12990847929729482,0.13367786425975448,136,0.6755386565272496,0.0772203831238556,0.1542828440223678,0.23511951560067693,0.46385427812262414,0.5068822832728535,18.79653086832738,-0.5267386011925923
30,15,0.18,0.10875343515160041,-0.7841408082901726,0.32697276982427265,0.2665470712677114,0.13869120698964568,0.14946410057823517,124,0.6850443599493029,0.07956838901576457,0.17225759693083198,0.24249512756995262,0.505767018782039,0.4794601438304862,22.6940944172298,-0.5267386011925921
30,15,0.2,0.10454581457035905,-0.7959801251275752,0.31541948094013844,0.25789028610819487,0.13134224243802953,0.1337792601173206,122,0.6894803548795945,0.0701064039218271,0.1811433064214798,0.21545688737804822,0.5256105650272992,0.4099173451105531,20.229047770384604,-0.5526957615201697
30,15,0.22,0.12385201777987276,-0.7959801251275752,0.3668155745594783,0.30388129326691904,0.15559687217067444,0.18777174991809495,116,0.6920152091254753,0.08641737057222487,0.20785457594741863,0.2627490068020934,0.5838169496733984,0.45005374878047255,34.163369752421154,-0.5526957615201697
30,15,0.25,0.12061982147736106,-0.7959801251275753,0.3582022079097021,0.2967336394610789,0.15153622266388722,0.17912517584796542,116,0.6926489226869454,0.0819174746022191,0.20785457594741885,0.25016553287132076,0.5838169496733986,0.4284999485048686,31.31358095113428,-0.5526957615201697
