variant,base_label,regime_period,reentry_instrument,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,num_trades,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,cagr_delta,calmar_delta
ATR_stop_2.0x,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.0920776564808885,-0.559321048853293,0.2776195069427718,0.19256641079944034,0.1646239787858225,0.21676970859309527,0.18488587146702976,162,0.04427404428409476,0.2030149626554889,0.07314528505712341,0.6114682291587787,0.11962238031197843,-0.00946550478336694,-0.049812077591812554
ATR_stop_2.5x,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.09928659394624417,-0.4864422524153971,0.30370141443528414,0.21018124286710593,0.20410766838867944,0.20417357439088815,0.23159997118782125,136,0.05732187412920409,0.19501858450687504,0.1316643864849536,0.586121443892513,0.22463669919761395,-0.002256567318011271,-0.010328387988955606
ATR_stop_3.0x,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.08806276031984472,-0.4781652463287398,0.2625838830415394,0.18063688895187008,0.18416804858984118,0.2079841867289925,0.17339183755751209,122,0.04114230887206216,0.1967337375231588,0.0663518990428991,0.5892833498931648,0.11259761378788065,-0.01348040094441072,-0.03026800778779387
golden_cross,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.08658000691225887,-0.5252563594847846,0.25857837423445335,0.1787047201904688,0.16483380990795388,0.2897320346163674,0.1193516863195541,54,0.04704200815778292,0.1762067064474231,0.10968038523779784,0.5229356749191951,0.2097397261235731,-0.014963154351996577,-0.04960224646968117
partial_exit_15pct,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.0845255342923874,-0.5070531069885831,0.2488806557977981,0.17151912934933505,0.16669956879741712,0.21648006623519378,0.15024724843279652,66,0.04448985782140724,0.17544033916396917,0.06927165987498789,0.5560463428547578,0.12457893261080578,-0.01701762697186804,-0.04773648758021792
VIX_below_25,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.10008345678409869,-0.47353585483512023,0.3033896366068345,0.20919979819072823,0.21135349258599775,0.2168229040671229,0.22176373382220388,54,0.06788365773102223,0.17111160772713507,0.18271363226564535,0.5099865555036959,0.3582714687158478,-0.0014597044801567538,-0.003082563791637294
VIX_below_30,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.10154316126425544,-0.47353585483512023,0.308304774824233,0.21296919588592547,0.21443605637763505,0.21597419946849727,0.22939388772445468,54,0.06788365773102223,0.17620670644742353,0.18271363226564535,0.5229356749191951,0.34939982301624106,0.0,0.0
VIX_below_35,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.10154316126425544,-0.47353585483512023,0.308304774824233,0.21296919588592547,0.21443605637763505,0.21597419946849727,0.22939388772445468,54,0.06788365773102223,0.17620670644742353,0.18271363226564535,0.5229356749191951,0.34939982301624106,0.0,0.0
UPRO_above_SMA50,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.10633607025980618,-0.47353585483512034,0.32585132925843185,0.2209776143581493,0.22455758982987922,0.1968852435379548,0.2759783784879311,50,0.07071200802018773,0.1858971191978318,0.19301108847913861,0.5556404168207586,0.34736689887229916,0.004792908995550738,0.010121533452244175
EMA_reentry,R200_UPRO_30_S6%,200,UPRO,30,0.06,0.09321478762532687,-0.49166118203718107,0.2811653853834,0.2119754935081596,0.18959151348718364,0.23886703215238705,0.17254280447974746,236,0.07454485705671576,0.13124778437482565,0.210755773675678,0.41873194296650834,0.5033190737314611,-0.01395125954172971,-0.019649082135065804
ATR_stop_1.5x,R200_UPRO_30_S6%,200,UPRO,30,0.06,0.06838745360004084,-0.628103093006452,0.19416248533056887,0.1466174591857415,0.10887934538373362,0.3056363800242214,0.05361748362136127,252,0.029902881294401995,0.1554747031945758,0.04307809852364943,0.4871529117908985,0.08842828910799967,-0.03877859356701574,-0.10036125023851583
ATR_stop_2.0x,R200_UPRO_30_S6%,200,UPRO,30,0.06,0.11576625130925189,-0.628103093006452,0.3541997399078475,0.26746484385573627,0.1843109078720342,0.27713968794668736,0.2300870430420577,186,0.07489123655243457,0.20856894478715038,0.21472777954831518,0.627527706391039,0.3421805561115882,0.008600204142195311,-0.024929687750215257
ATR_stop_2.5x,R200_UPRO_30_S6%,200,UPRO,30,0.06,0.11216845461183422,-0.628103093006452,0.3424889432431625,0.25623785385835324,0.17858287255828242,0.274677464852995,0.21905129583177077,166,0.07918013741215368,0.18508768539042486,0.22979563112922446,0.5627890708402637,0.40831573148023564,0.005002407444777646,-0.030657723063967024
ATR_stop_3.0x,R200_UPRO_30_S6%,200,UPRO,30,0.06,0.0918218074807402,-0.6480020183231252,0.276274236243075,0.20305371804557734,0.14169987883425603,0.28512529380045676,0.1396642400607547,152,0.060130564220504557,0.16163410165781422,0.16391069930144192,0.49727998805753226,0.32961450940687853,-0.015344239686316374,-0.06754071678799342
golden_cross,R200_UPRO_30_S6%,200,UPRO,30,0.06,0.05713446238782538,-0.5949029817366719,0.14351059971707109,0.0983138113506143,0.09603996641777701,0.27825390255649685,0.018452436212580622,204,0.019210390233937558,0.14288398772088584,-0.03883359896433409,0.4537428624634883,-0.0855850354394477,-0.0500315847792312,-0.11320062920447244
partial_exit_15pct,R200_UPRO_30_S6%,200,UPRO,30,0.06,0.12959201284096422,-0.4537672136310818,0.4253016778794706,0.32654708053437653,0.28559139785344667,0.18637769493185063,0.4163159806721287,240,0.11342208331810832,0.1644201937094767,0.3670842380206227,0.5417698179340336,0.6775649470848139,0.022425965673907644,0.07635080223119722
VIX_below_25,R200_UPRO_30_S6%,200,UPRO,30,0.06,0.10327622815269821,-0.5116002275107643,0.3186561374292077,0.23453551919709179,0.20186900356787907,0.2359443066633454,0.21732343906844573,220,0.0952868850744415,0.11614407766770629,0.28986992013038027,0.3765962934201023,0.7697099658042129,-0.0038898190143583644,-0.0073715920543703795
VIX_below_30,R200_UPRO_30_S6%,200,UPRO,30,0.06,0.10844858991465833,-0.5121666130244047,0.33376589333390266,0.25370174258859735,0.2117447470350645,0.2392057894692237,0.23598337665619515,230,0.09847107713364123,0.12591681242731068,0.29917918989429465,0.40308337111871423,0.7422265747752264,0.001282542747601756,0.002504151412815042
VIX_below_35,R200_UPRO_30_S6%,200,UPRO,30,0.06,0.10716604716705658,-0.5121666130244047,0.3288212649638769,0.25030610642594053,0.20924059562224945,0.23762123578105987,0.23215958365726888,232,0.09087712988444463,0.13947454542468796,0.2711649530468718,0.4434423641275434,0.6114998813439463,0.0,0.0
UPRO_above_SMA50,R200_UPRO_30_S6%,200,UPRO,30,0.06,0.1088583166001098,-0.5344494638417447,0.338706771278882,0.2477743567586674,0.20368308692389991,0.2251133026347692,0.25257644010651165,212,0.08130440931727878,0.16834809342908685,0.23607848906040577,0.537958086294563,0.43884178911875155,0.0016922694330532284,-0.005557508698349534
EMA_regime,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.0991041591553048,-0.456772111104392,0.30025721059751825,0.20847435116776517,0.21696630933900266,0.2144986773268149,0.21960116371037505,76,0.06941666016013182,0.163902714415733,0.19075093595212383,0.49669366927626113,0.3840414077152816,0.0023633891166301435,0.01095603594032149
EMA_reentry,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.07717489785505016,-0.628393333979034,0.22582362546511717,0.15565913723294222,0.12281304349040893,0.2652125092685803,0.09492349333174019,76,0.053224326140739686,0.12801481322076325,0.1264548557225655,0.39663491098324544,0.3188192774284238,-0.01956587218362449,-0.08319722990827223
ATR_stop_1.5x,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.050708767152303436,-0.6454589235720734,0.11516081330851535,0.07987271561250721,0.07856234579835533,0.24755404663933522,-0.00521596340365131,226,0.007474411297755612,0.15016471580592938,-0.11156075069751227,0.4709745088121264,-0.2368721631641731,-0.046032002886371215,-0.12744792760032583
ATR_stop_2.0x,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.0920776564808885,-0.559321048853293,0.2776195069427718,0.19256641079944034,0.1646239787858225,0.21676970859309527,0.18488587146702976,162,0.04427404428409476,0.2030149626554889,0.07314528505712341,0.6114682291587787,0.11962238031197843,-0.004663113557786147,-0.04138629461285867
ATR_stop_2.5x,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.09928659394624417,-0.4864422524153971,0.30370141443528414,0.21018124286710593,0.20410766838867944,0.20417357439088815,0.23159997118782125,136,0.05732187412920409,0.19501858450687504,0.1316643864849536,0.586121443892513,0.22463669919761395,0.002545823907569522,-0.0019026050100017233
ATR_stop_3.0x,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.08806276031984472,-0.4781652463287398,0.2625838830415394,0.18063688895187008,0.18416804858984118,0.2079841867289925,0.17339183755751209,122,0.04114230887206216,0.1967337375231588,0.0663518990428991,0.5892833498931648,0.11259761378788065,-0.008678009718829927,-0.02184222480883999
golden_cross,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.07631264812354455,-0.6047947788245441,0.2232745184855916,0.14972907938972133,0.12617940960380458,0.322199014804593,0.07545848064833365,70,0.03760578830473271,0.16390271441573323,0.06837053402668053,0.4966936692762612,0.13765130956129182,-0.020428121915130104,-0.07983086379487658
partial_exit_15pct,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.09056272063345316,-0.5070531069885834,0.27166112537186127,0.1864130428456653,0.17860598699672742,0.20528440381531193,0.1878502210433232,90,0.06336740600805935,0.14926703932679253,0.1638297663330313,0.4703875059160486,0.3482868151737654,-0.006178049405221486,-0.027404286401953748
VIX_below_25,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.0967121712514798,-0.46959196957841604,0.292940475371088,0.19757621081589277,0.20594937204378674,0.21377539410402685,0.20915490035173118,66,0.06610435673724435,0.16380335537402524,0.17480087866231003,0.5005940261852434,0.34918690499439853,-2.8598787194855646e-05,-6.09013548944215e-05
VIX_below_30,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.09674077003867465,-0.46959196957841604,0.2928228249682651,0.1982747251220618,0.20601027339868117,0.2131515558891783,0.20990121255289482,68,0.06610435673724435,0.1639027144157328,0.17480087866231003,0.4966936692762612,0.3519289442867566,0.0,0.0
VIX_below_35,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.09674077003867465,-0.46959196957841604,0.2928228249682651,0.1982747251220618,0.20601027339868117,0.2131515558891783,0.20990121255289482,68,0.06610435673724435,0.1639027144157328,0.17480087866231003,0.4966936692762612,0.3519289442867566,0.0,0.0
UPRO_above_SMA50,R225_UPRO_30_S15%,225,UPRO,30,0.15,0.10511710460500501,-0.44576392685048594,0.3232009519816726,0.21577753418192197,0.2358133942055442,0.1894976249096825,0.2803048567512202,62,0.06892799444705355,0.18610970977311325,0.18519520945045947,0.5633910959685628,0.3287151869734082,0.008376334566330357,0.029803120806863037
